ISBN,Name,Author,Date,Genre,Qty,Borrowed
11111,The History of Tom Jones,Henry Fielding,1749,fiction,3,T
11112,Pride and Prejudice,Jane Austen,1813,romance,2,T
11113,The Red and the Black,Stendhal,1830,bildungsroman,4,T
11114,Le Pere Goriot,Honore de Balzac,1835,fiction,3,T
11115,David Copperfield,Charles Dickens,1850,bildungsroman,3,T
11116,Madame Bovary,Gustave Flaubert,1856,fiction,5,T
11117,Moby-Dick,Herman Malville,1851,epic,3,T
11118,Wuthering Heights,Emily Bronte,1847,tragedy,2,T
11119,The Brothers Karamazov,Dostoevsky,1879,philosophy,2,T
11120,War and Peace,Tolstoy,1869,romance,3,T
11121,Alice,matt,1500,romance,4,F
